open_time,open,high,low,close,volume,close_time,quote_asset_volume,trades,taker_buy_base,taker_buy_quote,ignore,open_time.1,open_time.2,open_time
2019-04-29 00:00:00+00:00,60.42,60.79,57.05,57.89,5610.84906,1556582399999,330354.2000166,1483,1653.0588,97795.6802769,0,,,
2019-04-30 00:00:00+00:00,57.89,60.85,57.3,60.66,5564.06161,1556668799999,328794.5774321,1423,2716.08013,160293.5095882,0,,,
2019-05-01 00:00:00+00:00,60.47,61.67,59.6,61.06,4083.6477,1556755199999,247006.4035321,1405,2254.29774,136599.1820969,0,,,
2019-05-02 00:00:00+00:00,61.13,61.3,59.55,60.03,5073.04145,1556841599999,305794.3011204,1555,2529.29496,152565.8634747,0,,,
2019-05-03 00:00:00+00:00,60.03,63.97,59.87,62.85,7085.86616,1556927999999,439970.773754,2279,3206.86981,200075.8658327,0,,,
2019-05-04 00:00:00+00:00,62.95,64.27,58.62,60.94,5132.99776,1557014399999,313707.1811641,1753,1969.18958,120783.6242202,0,,,
2019-05-05 00:00:00+00:00,60.9,60.98,58.85,59.59,3381.71042,1557100799999,202784.4814474,1000,1185.32961,70984.6571861,0,,,
2019-05-06 00:00:00+00:00,59.73,61.3,58.61,60.07,8874.41975,1557187199999,534702.2870244,2276,4719.8921,284553.6747095,0,,,
2019-05-07 00:00:00+00:00,60.36,61.68,57.31,57.64,8917.77956,1557273599999,535923.0046847,2311,3390.21046,204593.75611,0,,,
2019-05-08 00:00:00+00:00,57.82,58.43,56.72,58.25,3416.85328,1557359999999,197374.2176173,1130,1205.33022,69682.9141844,0,,,
2019-05-09 00:00:00+00:00,58.33,59.09,55.5,56.58,7693.60889,1557446399999,437512.2923446,1761,3619.78883,204965.9041014,0,,,
2019-05-10 00:00:00+00:00,56.62,58.03,55.98,57.46,6732.30301,1557532799999,386430.6233459,1977,2635.32221,151402.8178504,0,,,
2019-05-11 00:00:00+00:00,57.51,65.7,57.23,63.08,13979.3599,1557619199999,852193.7687548,3700,5732.46201,349011.7643608,0,,,
2019-05-12 00:00:00+00:00,63.19,65.0,58.39,60.67,11371.24473,1557705599999,706533.949193,3173,4657.41091,288197.3926446,0,,,
2019-05-13 00:00:00+00:00,60.67,65.9,59.82,63.58,11496.17316,1557791999999,726939.9389277,3377,4800.67795,304041.1901363,0,,,
2019-05-14 00:00:00+00:00,63.48,69.0,62.88,67.51,18708.29392,1557878399999,1245294.3085935,5158,9614.73316,642338.5045732,0,,,
2019-05-15 00:00:00+00:00,67.51,77.38,67.51,77.0,12140.04615,1557964799999,892877.464162,4347,7193.85656,527097.6949638,0,,,
2019-05-16 00:00:00+00:00,77.14,82.18,70.89,75.26,30460.10947,1558051199999,2332460.9144137,9027,16606.22766,1273102.2186907,0,,,
2019-05-17 00:00:00+00:00,74.83,75.91,66.04,73.34,21276.9366,1558137599999,1503436.3445708,6954,8731.15999,616627.7455292,0,,,
2019-05-18 00:00:00+00:00,73.45,74.24,70.08,71.91,6902.57432,1558223999999,500429.2489626,3069,3452.08284,250828.4856261,0,,,
2019-05-19 00:00:00+00:00,71.89,78.93,71.87,77.6,12258.0987,1558310399999,929914.72239,3938,6960.36312,527864.936523,0,,,
2019-05-20 00:00:00+00:00,77.57,77.89,72.07,75.95,14181.82209,1558396799999,1070955.982612,4614,5000.42838,379664.8478701,0,,,
2019-05-21 00:00:00+00:00,75.84,76.57,73.44,74.51,16332.14803,1558483199999,1219642.6731341,3837,8520.77449,635994.7161986,0,,,
2019-05-22 00:00:00+00:00,74.41,75.46,68.95,69.73,10244.61884,1558569599999,746742.826767,3622,3837.59661,279674.644964,0,,,
2019-05-23 00:00:00+00:00,69.77,72.32,67.5,71.91,9911.59178,1558655999999,695107.671746,2412,4606.41159,322506.9069353,0,,,
2019-05-24 00:00:00+00:00,71.93,74.52,71.38,72.38,4985.89852,1558742399999,364543.5141955,2032,2131.7893,155686.4223514,0,,,
2019-05-25 00:00:00+00:00,72.31,73.75,71.43,72.3,3955.03882,1558828799999,286427.6689373,1232,1809.32617,131326.9024577,0,,,
2019-05-26 00:00:00+00:00,72.09,76.24,70.21,75.32,9162.2528,1558915199999,669697.6695867,3220,4417.61637,323149.8752718,0,,,
2019-05-27 00:00:00+00:00,75.1,78.04,74.25,76.22,11406.89226,1559001599999,864496.9913688,4127,5871.63882,445722.1838319,0,,,
2019-05-28 00:00:00+00:00,76.34,89.0,76.11,85.12,37276.84361,1559087999999,3136489.9703382,10055,18854.85275,1585763.0861185,0,,,
2019-05-29 00:00:00+00:00,85.07,88.24,79.0,85.08,20863.05051,1559174399999,1751482.5620981,6778,9399.69988,790826.8979072,0,,,
2019-05-30 00:00:00+00:00,84.89,98.36,80.09,82.99,71249.86717,1559260799999,6407703.6055952,17466,40466.62008,3625155.5785078,0,,,
2019-05-31 00:00:00+00:00,82.94,90.86,82.49,90.2,27580.39007,1559347199999,2387367.0291871,7573,12725.49592,1103901.2816841,0,,,
2019-06-01 00:00:00+00:00,90.19,92.51,83.58,86.17,17879.98042,1559433599999,1569082.8158401,6157,8183.07698,719311.2753647,0,,,
2019-06-02 00:00:00+00:00,86.46,89.73,85.3,88.86,16001.00953,1559519999999,1404850.5479131,4809,6717.72006,590148.8761675,0,,,
2019-06-03 00:00:00+00:00,88.87,88.87,81.17,83.63,26116.18473,1559606399999,2249049.4781643,6664,11844.7583,1021395.910795,0,,,
2019-06-04 00:00:00+00:00,83.38,89.27,75.59,77.69,28460.41089,1559692799999,2321949.9470744,7732,11150.29967,915741.352362,0,,,
2019-06-05 00:00:00+00:00,77.83,80.56,76.59,80.41,13299.61318,1559779199999,1041932.7695076,3651,4818.19487,378488.8524323,0,,,
2019-06-06 00:00:00+00:00,80.5,81.12,76.2,79.65,10912.96883,1559865599999,863151.7100642,2616,5346.16623,423316.9619836,0,,,
2019-06-07 00:00:00+00:00,79.65,84.6,79.19,83.13,11754.60977,1559951999999,965866.0037686,3716,6608.98477,543277.7977488,0,,,
2019-06-08 00:00:00+00:00,83.26,84.22,80.0,80.44,22070.24733,1560038399999,1787930.6338002,4746,17304.80712,1397275.5597054,0,,,
2019-06-09 00:00:00+00:00,80.24,80.8,75.39,77.35,16558.3549,1560124799999,1297838.4920022,4426,4632.67729,363397.9957841,0,,,
2019-06-10 00:00:00+00:00,77.2,81.2,76.14,80.12,10283.07538,1560211199999,815050.2122099,3235,5087.04778,404071.123107,0,,,
2019-06-11 00:00:00+00:00,79.97,80.18,77.0,79.5,6915.52731,1560297599999,545334.523648,2299,2465.28988,194259.2891742,0,,,
2019-06-12 00:00:00+00:00,79.56,92.02,78.82,91.1,33700.71467,1560383999999,2908092.9647519,10145,17294.54327,1489355.5832082,0,,,
2019-06-13 00:00:00+00:00,91.24,91.71,86.29,87.84,24301.77903,1560470399999,2157002.0217745,6065,12551.30438,1115624.5198912,0,,,
2019-06-14 00:00:00+00:00,87.87,95.98,86.96,90.68,38452.10581,1560556799999,3480842.0172609,10023,15873.88813,1439994.9990621,0,,,
2019-06-15 00:00:00+00:00,90.77,93.63,90.05,92.08,17835.5805,1560643199999,1635997.1867066,5416,9337.25692,856720.3711308,0,,,
2019-06-16 00:00:00+00:00,92.08,94.74,90.95,93.51,16347.67369,1560729599999,1516991.1873622,5822,8365.32403,776651.6794078,0,,,
2019-06-17 00:00:00+00:00,93.35,105.23,93.35,102.09,42563.8688,1560815999999,4210044.2181375,13176,22171.81349,2187804.3302972,0,,,
2019-06-18 00:00:00+00:00,101.99,113.84,99.44,111.95,88862.67271,1560902399999,9540462.1391598,22424,42711.68516,4581884.0733425,0,,,
2019-06-19 00:00:00+00:00,111.96,115.41,106.85,110.66,51184.36177,1560988799999,5712706.5378552,13876,23661.75063,2640837.7210551,0,,,
2019-06-20 00:00:00+00:00,110.81,111.1,105.67,109.39,22544.85979,1561075199999,2438359.8228522,6542,9823.1761,1062511.7983495,0,,,
2019-06-21 00:00:00+00:00,109.58,114.37,107.7,109.75,31068.3757,1561161599999,3446716.2708451,9430,14739.47049,1637669.1465405,0,,,
2019-06-22 00:00:00+00:00,109.75,117.56,108.46,113.51,39615.65945,1561247999999,4481864.5686843,12572,17809.25331,2016608.6196725,0,,,
2019-06-23 00:00:00+00:00,113.35,115.09,109.3,110.25,25442.14518,1561334399999,2875295.494609,7541,11961.02616,1352496.2108949,0,,,
2019-06-24 00:00:00+00:00,110.34,110.77,104.6,109.19,19588.79011,1561420799999,2120010.9185638,7048,8722.65831,943773.1649336,0,,,
2019-06-25 00:00:00+00:00,109.08,110.0,103.29,105.57,24424.1713,1561507199999,2605678.0694291,14514,13209.66338,1408673.1789291,0,,,
2019-06-26 00:00:00+00:00,105.76,125.79,105.4,114.12,66012.03275,1561593599999,7511713.5872722,22673,31523.8991,3596547.2802024,0,,,
2019-06-27 00:00:00+00:00,113.82,114.49,97.61,106.96,40675.29052,1561679999999,4291921.4382696,17159,16457.15591,1732207.0593205,0,,,
2019-06-28 00:00:00+00:00,106.78,116.39,105.84,111.97,36625.84674,1561766399999,4132612.8234767,12388,16381.62376,1848206.3889292,0,,,
2019-06-29 00:00:00+00:00,112.13,114.6,105.86,113.89,17768.53222,1561852799999,1972689.4463488,7306,8244.09434,916579.2438156,0,,,
2019-06-30 00:00:00+00:00,114.11,114.52,103.11,103.3,17084.58782,1561939199999,1859941.363055,7236,7417.12436,808696.4685129,0,,,
2019-07-01 00:00:00+00:00,103.44,107.25,96.9,103.72,20016.86322,1562025599999,2052710.0510991,7476,8188.84994,844610.3814026,0,,,
2019-07-02 00:00:00+00:00,104.17,104.44,96.05,101.54,20067.19158,1562111999999,2004333.0600952,7647,9670.42167,965612.5338135,0,,,
2019-07-03 00:00:00+00:00,101.71,106.15,101.25,105.82,11714.02387,1562198399999,1216097.910636,6122,5460.73278,566948.6744346,0,,,
2019-07-04 00:00:00+00:00,105.59,106.0,100.04,100.87,12055.56225,1562284799999,1240140.9324641,4942,4706.46797,484550.2120462,0,,,
2019-07-05 00:00:00+00:00,100.8,103.37,98.5,99.99,10188.5831,1562371199999,1023490.133491,4751,4693.74959,472156.1364693,0,,,
2019-07-06 00:00:00+00:00,100.18,106.12,100.03,103.76,10662.15924,1562457599999,1095217.1472068,5035,5465.13673,561352.1666369,0,,,
2019-07-07 00:00:00+00:00,103.7,106.49,102.31,106.45,7961.36546,1562543999999,826565.4889176,3919,4561.62187,474001.1382674,0,,,
2019-07-08 00:00:00+00:00,106.21,106.98,103.88,105.03,10284.34757,1562630399999,1082966.255692,4115,4146.76841,437024.14145,0,,,
2019-07-09 00:00:00+00:00,105.0,106.52,98.5,100.73,16984.01061,1562716799999,1737896.5228865,6002,7493.92658,766866.4525328,0,,,
2019-07-10 00:00:00+00:00,100.74,104.99,94.36,97.02,28281.8063,1562803199999,2818701.6853577,9246,13161.64514,1310418.743826,0,,,
2019-07-11 00:00:00+00:00,97.04,97.04,86.5,88.12,17374.17957,1562889599999,1566660.0835413,7035,8159.52905,733789.1308526,0,,,
2019-07-12 00:00:00+00:00,88.07,93.07,85.73,93.04,13135.23425,1562975999999,1176924.491906,5121,6432.42595,576256.2510898,0,,,
2019-07-13 00:00:00+00:00,93.06,93.57,86.43,89.84,11668.1649,1563062399999,1042467.3000181,6698,5358.43699,478209.0056458,0,,,
2019-07-14 00:00:00+00:00,89.8,90.05,79.54,82.29,25977.71761,1563148799999,2181933.606121,14681,14912.39646,1252974.8951612,0,,,
2019-07-15 00:00:00+00:00,82.29,82.45,75.83,80.37,29569.14645,1563235199999,2329046.8963439,14827,17080.40022,1347050.4237329,0,,,
2019-07-16 00:00:00+00:00,80.32,82.13,63.76,67.05,33712.63262,1563321599999,2404379.1868496,13015,17512.41879,1247256.6746238,0,,,
2019-07-17 00:00:00+00:00,67.04,76.83,65.44,73.79,24303.83064,1563407999999,1712894.2756011,10817,12145.60782,854160.7844109,0,,,
2019-07-18 00:00:00+00:00,74.05,80.64,72.44,79.04,19915.63287,1563494399999,1527808.0666591,7156,9821.10271,756973.6091003,0,,,
2019-07-19 00:00:00+00:00,79.02,79.77,71.35,75.55,31518.94931,1563580799999,2364939.6291081,17922,18477.73718,1384615.1346514,0,,,
2019-07-20 00:00:00+00:00,75.55,79.78,74.4,77.71,16920.73158,1563667199999,1303028.8256375,10413,10011.56411,770021.4600945,0,,,
2019-07-21 00:00:00+00:00,77.67,78.0,73.44,75.37,7560.91007,1563753599999,570942.6809293,3281,3361.50405,253581.2697903,0,,,
2019-07-22 00:00:00+00:00,75.54,76.51,71.11,72.99,8120.56666,1563839999999,599202.302191,3501,3234.35132,238588.9192763,0,,,
2019-07-23 00:00:00+00:00,72.94,73.39,69.23,70.59,9182.25588,1563926399999,652958.7486393,3806,4364.66986,309796.7895113,0,,,
2019-07-24 00:00:00+00:00,70.52,71.59,67.9,70.99,9414.60384,1564012799999,657348.5609796,3473,4165.31138,290322.6681662,0,,,
2019-07-25 00:00:00+00:00,70.78,72.6,69.6,69.94,7782.72942,1564099199999,554565.2124288,3009,3552.92603,253305.3857361,0,,,
2019-07-26 00:00:00+00:00,69.95,72.13,69.22,71.32,7402.91278,1564185599999,526899.7354367,2575,3977.69784,282912.0629943,0,,,
2019-07-27 00:00:00+00:00,71.26,73.29,68.23,69.12,10211.05487,1564271999999,713510.554974,2949,4684.52997,327768.1482222,0,,,
2019-07-28 00:00:00+00:00,69.03,69.88,65.47,68.72,4944.87758,1564358399999,338244.8975891,1973,2275.32517,155790.6489464,0,,,
2019-07-29 00:00:00+00:00,68.78,69.79,66.38,67.38,6682.49063,1564444799999,457193.4565776,2390,2782.49713,190699.1966937,0,,,
2019-07-30 00:00:00+00:00,67.32,67.61,65.5,66.67,6951.76253,1564531199999,463146.8870265,2092,3378.38591,225461.6173512,0,,,
2019-07-31 00:00:00+00:00,66.54,68.76,66.28,68.12,11090.37855,1564617599999,746734.8407057,2949,5614.59087,377893.3851354,0,,,
2019-08-01 00:00:00+00:00,68.14,68.4,66.27,67.61,8783.84126,1564703999999,588483.736004,2593,4323.8063,289919.1481579,0,,,
2019-08-02 00:00:00+00:00,67.61,68.48,65.38,66.41,10856.64577,1564790399999,727807.4021014,2836,5694.83415,381524.8775461,0,,,
2019-08-03 00:00:00+00:00,66.57,67.39,64.58,65.15,18820.25545,1564876799999,1232259.3025087,5859,8465.38308,553524.8327504,0,,,
2019-08-04 00:00:00+00:00,65.14,66.76,63.15,65.73,11297.92008,1564963199999,729863.3751548,3277,7099.4129,458834.2685667,0,,,
2019-08-05 00:00:00+00:00,65.73,67.99,65.73,66.71,18428.04015,1565049599999,1233426.724914,5350,8353.33989,559877.8178078,0,,,
2019-08-06 00:00:00+00:00,66.77,67.33,61.13,62.47,15375.57602,1565135999999,998408.3515937,5302,6551.36092,426251.9912491,0,,,
2019-08-07 00:00:00+00:00,62.48,63.61,60.57,62.18,12382.5132,1565222399999,769888.2690651,4058,5346.10168,333328.0664478,0,,,
