open_time,open,high,low,close,volume,close_time,quote_asset_volume,trades,taker_buy_base,taker_buy_quote,ignore,open_time.1,open_time
2021-11-03 00:00:00+00:00,278.4,279.8,265.1,267.0,43198.385,1635983999999,11726522.0522,30687,19413.903,5272316.7168,0,,
2021-11-04 00:00:00+00:00,266.7,274.4,256.7,264.4,49639.039,1636070399999,13196978.2763,37359,24848.006,6615542.017,0,,
2021-11-05 00:00:00+00:00,264.4,269.8,253.4,259.6,34805.964,1636156799999,9078879.0175,23494,15816.073,4130838.1556,0,,
2021-11-06 00:00:00+00:00,259.5,259.5,236.2,256.4,63637.32,1636243199999,15897192.762,38436,29882.888,7476064.2631,0,,
2021-11-07 00:00:00+00:00,256.4,278.1,255.3,262.3,54403.067,1636329599999,14630747.9622,41391,30293.042,8177389.3509,0,,
2021-11-08 00:00:00+00:00,262.5,265.7,249.6,254.7,62404.712,1636415999999,15992819.1341,35495,31491.02,8067380.0359,0,,
2021-11-09 00:00:00+00:00,254.5,315.0,249.3,294.5,160749.287,1636502399999,45934905.4425,123562,86169.234,24659456.2528,0,,
2021-11-10 00:00:00+00:00,294.8,308.2,264.0,276.7,96052.986,1636588799999,27364252.2829,80198,46050.023,13145036.3806,0,,
2021-11-11 00:00:00+00:00,276.8,287.0,267.0,270.5,43886.681,1636675199999,12158552.9355,32098,20864.628,5784825.5226,0,,
2021-11-12 00:00:00+00:00,270.4,274.3,248.1,257.4,36890.942,1636761599999,9651845.8287,29544,14523.981,3818179.6786,0,,
2021-11-13 00:00:00+00:00,257.4,267.7,252.9,261.0,29365.388,1636847999999,7642020.5675,24857,15458.847,4028806.7139,0,,
2021-11-14 00:00:00+00:00,261.0,274.2,254.8,269.9,29946.617,1636934399999,7863372.6896,22537,15663.995,4122757.399,0,,
2021-11-15 00:00:00+00:00,269.7,293.8,265.0,277.9,64503.15,1637020799999,17937632.9464,51685,32360.821,9007673.5235,0,,
2021-11-16 00:00:00+00:00,277.9,277.9,247.3,252.6,49512.697,1637107199999,12911918.9026,38313,23760.403,6194340.0679,0,,
2021-11-17 00:00:00+00:00,252.2,255.1,244.1,251.6,36769.936,1637193599999,9186587.8548,26383,16237.679,4062020.1423,0,,
2021-11-18 00:00:00+00:00,251.3,254.4,219.9,227.1,72062.162,1637279999999,16856515.5354,43885,34196.362,8017860.5037,0,,
2021-11-19 00:00:00+00:00,227.1,244.7,221.9,236.6,46163.98,1637366399999,10754736.1646,27159,24892.708,5811754.2718,0,,
2021-11-20 00:00:00+00:00,237.4,240.0,228.1,238.1,25010.14,1637452799999,5850837.7854,17644,10794.447,2528240.0875,0,,
2021-11-21 00:00:00+00:00,237.8,238.0,225.3,226.0,24315.96,1637539199999,5583774.3675,16316,12236.569,2808409.2411,0,,
2021-11-22 00:00:00+00:00,226.2,226.7,211.7,219.0,42146.94,1637625599999,9195834.4218,25781,18770.271,4098039.1391,0,,
2021-11-23 00:00:00+00:00,219.1,268.0,217.4,238.2,134186.074,1637711999999,32541438.034,88131,68854.206,16755815.2534,0,,
2021-11-24 00:00:00+00:00,238.4,239.9,221.7,232.8,51171.639,1637798399999,11719999.8642,30443,23609.805,5412145.8569,0,,
2021-11-25 00:00:00+00:00,232.5,233.7,224.2,227.5,23510.195,1637884799999,5381915.9883,16142,11559.883,2647748.4957,0,,
2021-11-26 00:00:00+00:00,227.5,230.8,196.6,207.6,66173.161,1637971199999,13859922.6051,39253,31787.528,6663513.6877,0,,
2021-11-27 00:00:00+00:00,207.9,219.7,206.7,208.0,35015.64,1638057599999,7471034.3853,18517,17396.084,3711914.6273,0,,
2021-11-28 00:00:00+00:00,208.0,210.2,193.6,207.6,59695.516,1638143999999,11981878.4021,25449,33966.459,6819322.7208,0,,
2021-11-29 00:00:00+00:00,207.6,215.8,199.8,213.9,61639.873,1638230399999,12747595.7539,24927,30436.751,6291094.015,0,,
2021-11-30 00:00:00+00:00,214.2,217.7,200.4,201.9,52935.21,1638316799999,10898966.8681,27363,23876.096,4916785.0954,0,,
2021-12-01 00:00:00+00:00,202.0,208.0,195.0,196.7,55980.875,1638403199999,11304276.4397,24922,25080.551,5078818.1716,0,,
2021-12-02 00:00:00+00:00,196.8,199.9,186.8,199.0,49669.345,1638489599999,9548086.9655,24408,24775.891,4767555.1461,0,,
2021-12-03 00:00:00+00:00,199.1,208.0,185.3,189.5,50085.365,1638575999999,9862218.8544,24155,23298.856,4596475.9222,0,,
2021-12-04 00:00:00+00:00,189.4,210.8,150.8,188.0,157696.67,1638662399999,28762143.3521,83620,77102.149,14069271.3321,0,,
2021-12-05 00:00:00+00:00,188.3,202.0,168.0,172.8,68042.252,1638748799999,12534381.0116,46564,33086.563,6114925.3273,0,,
2021-12-06 00:00:00+00:00,173.0,179.5,145.1,174.8,124228.984,1638835199999,20031963.8359,57658,57880.618,9331756.2705,0,,
2021-12-07 00:00:00+00:00,174.8,179.9,160.7,164.1,55098.926,1638921599999,9345294.7796,28132,27083.859,4596620.3549,0,,
2021-12-08 00:00:00+00:00,164.1,188.0,152.4,171.2,100939.979,1639007999999,17007824.0685,57620,46880.008,7917636.8958,0,,
2021-12-09 00:00:00+00:00,171.4,172.6,150.3,162.5,95577.988,1639094399999,15286895.0817,38518,50869.173,8127058.2879,0,,
2021-12-10 00:00:00+00:00,162.1,176.0,157.6,164.1,96964.535,1639180799999,16215831.1927,51971,47180.742,7889704.5903,0,,
2021-12-11 00:00:00+00:00,164.1,209.7,161.6,204.9,173790.219,1639267199999,33423213.7178,112171,89179.481,17164027.3086,0,,
2021-12-12 00:00:00+00:00,205.0,229.5,195.7,198.8,173035.709,1639353599999,36673534.6831,112494,86014.861,18290864.8077,0,,
2021-12-13 00:00:00+00:00,198.5,200.7,170.0,179.2,92957.741,1639439999999,17152813.4844,54287,41340.638,7631849.903,0,,
2021-12-14 00:00:00+00:00,179.2,183.0,165.0,172.7,46999.432,1639526399999,8181629.948,30344,20765.638,3618865.8864,0,,
2021-12-15 00:00:00+00:00,172.7,216.7,171.9,199.0,133042.243,1639612799999,25682848.0082,97225,68571.165,13261885.788,0,,
2021-12-16 00:00:00+00:00,199.1,199.8,176.2,183.6,71700.935,1639699199999,13367962.2574,42796,34195.647,6385086.2687,0,,
2021-12-17 00:00:00+00:00,183.6,189.5,176.1,181.3,37650.36,1639785599999,6883881.3914,27445,18966.656,3471124.3509,0,,
2021-12-18 00:00:00+00:00,181.2,191.3,176.3,185.5,28389.68,1639871999999,5239471.8421,18968,13029.242,2405092.1567,0,,
2021-12-19 00:00:00+00:00,185.5,188.0,176.4,182.1,21558.482,1639958399999,3969652.8605,17267,10006.717,1846420.6506,0,,
2021-12-20 00:00:00+00:00,182.4,182.9,166.8,174.2,42562.21,1640044799999,7394774.2951,26711,19474.266,3389643.1276,0,,
2021-12-21 00:00:00+00:00,174.2,199.4,171.5,186.2,55340.645,1640131199999,9928074.2992,30668,30895.477,5553918.1146,0,,
2021-12-22 00:00:00+00:00,186.0,187.5,180.0,182.3,34381.757,1640217599999,6325169.4277,21748,18582.401,3420872.9132,0,,
2021-12-23 00:00:00+00:00,182.4,198.0,180.1,195.7,38430.643,1640303999999,7266650.075,26490,17998.878,3396999.6048,0,,
2021-12-24 00:00:00+00:00,196.0,209.3,192.0,199.5,54025.116,1640390399999,10763719.9743,36064,26915.649,5361763.7905,0,,
2021-12-25 00:00:00+00:00,199.5,203.3,192.2,195.5,27258.77,1640476799999,5379463.6186,20839,12792.785,2527193.1976,0,,
2021-12-26 00:00:00+00:00,195.2,196.4,188.0,194.0,27919.794,1640563199999,5360005.5881,19490,13374.603,2570340.2604,0,,
2021-12-27 00:00:00+00:00,194.3,209.0,193.5,205.9,38435.837,1640649599999,7719650.032,25797,18612.846,3738843.959,0,,
2021-12-28 00:00:00+00:00,206.0,206.2,180.4,189.0,42055.734,1640735999999,7997396.445,31683,18970.165,3610274.809,0,,
2021-12-29 00:00:00+00:00,189.1,194.2,172.8,175.6,27132.956,1640822399999,4984645.6202,22991,11283.305,2082875.1868,0,,
2021-12-30 00:00:00+00:00,175.6,186.9,172.2,179.0,27118.651,1640908799999,4857201.8436,21595,14244.537,2558764.5246,0,,
2021-12-31 00:00:00+00:00,178.8,186.6,172.0,178.7,23955.771,1640995199999,4315887.8933,18301,10625.725,1916050.1899,0,,
2022-01-01 00:00:00+00:00,178.7,180.5,172.1,179.8,25550.933,1641081599999,4488989.9687,17663,12338.514,2172014.8671,0,,
2022-01-02 00:00:00+00:00,179.6,188.0,176.1,187.2,23762.014,1641167999999,4309305.2275,18991,11414.0,2070200.8213,0,,
2022-01-03 00:00:00+00:00,187.0,189.8,177.0,179.0,28606.651,1641254399999,5274361.9201,19456,13047.42,2413445.1165,0,,
2022-01-04 00:00:00+00:00,178.9,185.1,176.2,179.7,22104.495,1641340799999,4006173.5147,16650,10806.794,1961237.3128,0,,
2022-01-05 00:00:00+00:00,179.4,184.8,162.0,166.2,38204.313,1641427199999,6700414.2625,31042,17373.796,3059743.1492,0,,
2022-01-06 00:00:00+00:00,166.2,184.0,156.8,178.3,68678.29,1641513599999,11497773.2014,41780,34392.9,5778928.9151,0,,
2022-01-07 00:00:00+00:00,178.1,190.9,170.5,177.4,78041.043,1641599999999,14134245.449,63582,39650.543,7195438.7331,0,,
2022-01-08 00:00:00+00:00,177.6,189.0,168.0,172.8,68117.274,1641686399999,12284632.4676,37534,35353.066,6433138.4518,0,,
2022-01-09 00:00:00+00:00,172.6,178.1,169.2,170.5,33309.888,1641772799999,5777827.9849,19291,17669.688,3066325.1123,0,,
2022-01-10 00:00:00+00:00,170.4,177.8,158.0,166.5,63004.49,1641859199999,10629240.5283,33785,30030.809,5082096.2556,0,,
2022-01-11 00:00:00+00:00,166.3,172.0,160.1,169.4,46934.139,1641945599999,7781048.832,25364,22211.43,3689736.4924,0,,
2022-01-12 00:00:00+00:00,169.6,173.7,161.1,169.0,43790.331,1642031999999,7349641.5486,24382,20296.064,3416685.4746,0,,
2022-01-13 00:00:00+00:00,169.0,176.9,165.2,165.2,34421.064,1642118399999,5862936.7722,27257,16244.886,2769912.7,0,,
2022-01-14 00:00:00+00:00,165.2,169.7,160.0,165.3,32033.448,1642204799999,5298534.9356,22872,14518.728,2407364.8509,0,,
2022-01-15 00:00:00+00:00,165.4,169.5,164.4,167.4,18547.618,1642291199999,3103165.4138,14081,8789.78,1471502.3843,0,,
2022-01-16 00:00:00+00:00,167.5,168.8,164.0,167.6,14730.415,1642377599999,2447119.7392,11457,7061.703,1174706.2757,0,,
2022-01-17 00:00:00+00:00,167.6,168.2,157.5,159.8,35126.496,1642463999999,5721633.6274,19200,17410.522,2842814.0514,0,,
2022-01-18 00:00:00+00:00,159.8,169.6,143.1,146.0,75276.998,1642550399999,11475302.0052,29207,33016.824,5031765.6581,0,,
2022-01-19 00:00:00+00:00,146.0,152.2,132.6,135.5,109034.998,1642636799999,15350196.3602,40615,56312.243,7951337.0553,0,,
2022-01-20 00:00:00+00:00,135.6,152.7,131.5,132.0,72452.707,1642723199999,10362396.0819,35860,32045.874,4586893.4061,0,,
2022-01-21 00:00:00+00:00,132.0,134.9,104.7,114.3,163186.408,1642809599999,19635467.299,65919,79027.686,9512498.3994,0,,
2022-01-22 00:00:00+00:00,114.3,117.6,84.0,99.1,193901.336,1642895999999,19268616.6083,77701,88793.934,8842898.2949,0,,
2022-01-23 00:00:00+00:00,99.0,117.2,97.8,109.7,94663.046,1642982399999,10140324.7089,41232,48284.552,5184392.9174,0,,
2022-01-24 00:00:00+00:00,109.5,109.5,86.1,103.0,181612.306,1643068799999,17325340.5736,63891,88420.477,8456033.573,0,,
2022-01-25 00:00:00+00:00,103.2,105.2,97.4,103.3,67926.869,1643155199999,6873890.7824,27745,32812.702,3323341.6708,0,,
2022-01-26 00:00:00+00:00,103.4,111.1,94.2,97.6,116522.058,1643241599999,12150877.5495,38839,55038.657,5764439.7522,0,,
2022-01-27 00:00:00+00:00,97.7,99.8,88.0,92.9,109128.438,1643327999999,10239155.772,31750,55660.134,5230637.6002,0,,
2022-01-28 00:00:00+00:00,92.6,99.4,89.1,97.1,73233.912,1643414399999,6885159.9472,20984,35029.891,3295694.0669,0,,
2022-01-29 00:00:00+00:00,97.0,101.0,95.7,97.5,46598.634,1643500799999,4576091.1012,14655,21130.719,2076357.5856,0,,
2022-01-30 00:00:00+00:00,97.4,100.0,92.7,94.7,45249.056,1643587199999,4382132.3687,16824,22394.439,2171860.467,0,,
2022-01-31 00:00:00+00:00,94.9,97.6,87.6,97.1,70185.999,1643673599999,6528877.9627,22006,32501.675,3031473.3406,0,,
